73,73,"Painting Booth 1","Powder ",6,"2024-01-12",,,"images/202304/apar.jpg","fln-apar-73"
74,74,"Painting Booth 2","CO2",6.8,"2024-01-12",,,"images/202304/apar.jpg","fln-apar-74"
75,75,"Painting Booth 3","CO2",6.8,"2024-01-12",,,"images/202304/apar.jpg","fln-apar-75"
76,76,"Incoming WIP Painting","Powder ",6,"2024-01-12",,,"images/202304/apar.jpg","fln-apar-76"
77,77,"Painting 5","Powder ",6,"2024-01-12",,,"images/202304/apar.jpg","fln-apar-77"
78,78,"Painting 6","Powder ",6,"2024-01-12",,,"images/202304/apar.jpg","fln-apar-78"
79,79,"Finishgood 2","Powder ",3,"2024-01-12",,,"images/202304/apar.jpg","fln-apar-79"
80,80,"WWTP","Powder ",25,"2024-01-12",,,"images/202304/apar.jpg","fln-apar-80"
81,81,"TPS B3 (1)","Powder ",3,"2023-11-10",,,"images/202304/apar.jpg","fln-apar-81"
82,82,"TPS B3 (2)","Powder ",3,"2023-11-10",,,"images/202304/apar.jpg","fln-apar-82"
83,83,"GUdang VB (1)","Powder ",3,"2023-11-10",,,"images/202304/apar.jpg","fln-apar-83"
84,84,"Gudang VB (2)","Powder ",3,"2023-11-10",,,"images/202304/apar.jpg","fln-apar-84"
85,85,"IT Server","Powder ",3,"2023-11-10",,,"images/202304/apar.jpg","fln-apar-85"
86,86,"Workshop (1)","Powder ",6,"2024-01-17",,,"images/202304/apar.jpg","fln-apar-86"
87,87,"Workshop (2)","Powder ",6,"2024-01-17",,,"images/202304/apar.jpg","fln-apar-87"
88,88,"Trafo","CO2",25,"2024-01-12",,,"images/202304/apar.jpg","fln-apar-88"
89,89,"Loker ","Powder ",3,"2023-11-10",,,"images/202304/apar.jpg","fln-apar-89"
90,90,"Pos Security 1","Powder ",6,"2023-11-10",,,"images/202304/apar.jpg","fln-apar-90"
91,91,"Pos Security 3","Powder ",3,"2023-06-30",,,"images/202304/apar.jpg","fln-apar-91"
